ID,Sent,Ground Truth Query
10,  Is there any level that does not have room?  ,SELECT ?level4_0 ?room9_0 WHERE{   ?level4_0 a ifcowl:IfcBuildingStorey . ?level4_0 schm:hasSpatialDecomposition ?room9_0  . ?room9_0 a ifcowl:IfcSpace .}
11,Return the wall between B202 and B203.,"SELECT ?wall3_0 ?variable5_0 ?variable7_0 WHERE{   ?variable5_0 a ifcowl:IfcSpace .?variable5_0 ifcowl:name_IfcRoot/expr:hasString ""B202""  . ?wall3_0 schm:hasSpaceBoundary ?variable5_0  . ?variable7_0 a ifcowl:IfcSpace .?variable7_0 ifcowl:name_IfcRoot/expr:hasString ""B203""  . ?wall3_0 schm:hasSpaceBoundary ?variable7_0  . ?wall3_0 a ifcowl:IfcWall .}"
12,Is the unbounded height of space referenced Room 44 the same as the unbounded height of space referenced Room 2166?  ,"SELECT ?unboundedheight3_0 ?space6_0 ?reference7_0 ?room448_0 ?unboundedheight14_0 ?space17_0 ?reference18_0 ?room216619_0 WHERE{   ?space6_0 ifcowl:tag_IfcElement ?room448_0  . ?reference7_0 bimnlq:getpropertystringvalue room448_0  .FILTER (?room448_0=""room 44"") . ?unboundedheight3_0 a ifcowl:IfcProperty . ?unboundedheight3_0 ifcowl:name_IfcProperty/expr:hasString  ""Unbounded Height"" . ?unboundedheight3_0 bimnlq:ispropertyof ?space6_0  . ?unboundedheight3_0 bimnlq:equalto_property ?unboundedheight14_0  . ?unboundedheight14_0 a ifcowl:IfcProperty . ?unboundedheight14_0 ifcowl:name_IfcProperty/expr:hasString  ""Unbounded Height"" . ?unboundedheight14_0 bimnlq:ispropertyof ?space17_0  . ?reference18_0 bimnlq:getpropertystringvalue room216619_0  .FILTER (?room216619_0=""room 2166"") . ?space6_0 a ifcowl:IfcSpace . ?space6_0 schm:hasProperty ?reference7_0  . ?reference7_0 a ifcowl:IfcProperty . ?reference7_0 ifcowl:name_IfcProperty/expr:hasString  ""Reference"" . ?space17_0 a ifcowl:IfcSpace . ?space17_0 schm:hasProperty ?reference18_0  . ?reference18_0 a ifcowl:IfcProperty . ?reference18_0 ifcowl:name_IfcProperty/expr:hasString  ""Reference"" .}"
13,Filter curtain walls belonging to Curtain Wall:(Existing) Curtainwall - Blank .,"SELECT ?curtainwall2_0 ?curtainwalllrbexistrrbcurtainwallblank6_0 WHERE{   ?curtainwalllrbexistrrbcurtainwallblank6_0 a ifcowl:IfcTypeObject . ?curtainwalllrbexistrrbcurtainwallblank6_0 ifcowl:name_IfcRoot/expr:hasString ""Curtain Wall:(Existing) Curtainwall - Blank"" . ?curtainwall2_0 schm:hasObjectTyping ?curtainwalllrbexistrrbcurtainwallblank6_0  . ?curtainwall2_0 a ifcowl:IfcCurtainWall .}"
14,The coverings which are not room bounding.,"SELECT ?covering2_0 ?roombounding6_0 WHERE{   ?covering2_0 a ifcowl:IfcCovering . ?covering2_0 schm:hasProperty ?roombounding6_0  . ?roombounding6_0 bimnlq:getpropertybooleanvalue ?roombounding6_0value  .FILTER ( ?roombounding6_0value = false) . ?roombounding6_0 a ifcowl:IfcProperty . ?roombounding6_0 ifcowl:name_IfcProperty/expr:hasString  ""Room Bounding"" .}"
15,Select rooms with height larger than 200 mm.,"SELECT ?room2_0 ?height4_0 WHERE{   ?height4_0 bimnlq:getquantitydoublevalue ?height4_0value  .FILTER ( ?height4_0value>200.0) . ?height4_0 a ifcowl:IfcPhysicalQuantity . ?height4_0 ifcowl:name_IfcPhysicalQuantity/expr:hasString ""Height"" . ?room2_0 schm:hasQuantity ?height4_0  . ?room2_0 a ifcowl:IfcSpace .}"
16,  The windows with the largest area at Exist Garage - Ground Level .  ,"SELECT ?window2_0 ?area6_0 ?variable8_0 WHERE{   ?variable8_0 a ifcowl:IfcBuildingStorey .?variable8_0 ifcowl:name_IfcRoot/expr:hasString ""Exist Garage - Ground Level""  . ?window2_0 schm:isContainedIn ?variable8_0  . ?area6_0 a ifcowl:IfcPhysicalQuantity . ?area6_0 ifcowl:name_IfcPhysicalQuantity/expr:hasString ""Area"" . ?window2_0 schm:hasQuantity ?area6_0  . ?window2_0 a ifcowl:IfcWindow .}ORDER BY DESC( ?area6_0value)LIMIT 1"
17,Show me the window on the roof.,"SELECT ?window4_0 ?variable7_0 WHERE{   ?window4_0 a ifcowl:IfcWindow . ?window4_0 schm:isContainedIn ?variable7_0  . ?variable7_0 a ifcowl:IfcBuildingStorey .?variable7_0 ifcowl:name_IfcRoot/expr:hasString ""Roof""  .}"
18,  Find slabs that have GrossArea > 300 .  ,"SELECT ?slab2_0 ?grossarea5_0 WHERE{   ?slab2_0 a ifcowl:IfcSlab . ?slab2_0 schm:hasQuantity ?grossarea5_0  . ?grossarea5_0 bimnlq:getquantitydoublevalue ?grossarea5_0value  .FILTER ( ?grossarea5_0value>300.0) . ?grossarea5_0 a ifcowl:IfcPhysicalQuantity . ?grossarea5_0 ifcowl:name_IfcPhysicalQuantity/expr:hasString ""GrossArea"" .}"
19,   Curtain walls whose type is Curtain Wall:(Existing) Curtainwall - Blank .   ,"SELECT ?curtainwall1_0 ?curtainwalllrbexistrrbcurtainwallblank6_0 WHERE{   ?curtainwalllrbexistrrbcurtainwallblank6_0 a ifcowl:IfcTypeObject . ?curtainwalllrbexistrrbcurtainwallblank6_0 ifcowl:name_IfcRoot/expr:hasString ""Curtain Wall:(Existing) Curtainwall - Blank"" . ?curtainwall1_0 schm:hasObjectTyping ?curtainwalllrbexistrrbcurtainwallblank6_0  . ?curtainwall1_0 a ifcowl:IfcCurtainWall .}"
20, Find all rooms with net floor area larger than 20m square ,"SELECT ?room3_0 ?netfloorarea5_0 WHERE{   ?room3_0 a ifcowl:IfcSpace . ?room3_0 schm:hasQuantity ?netfloorarea5_0  . ?netfloorarea5_0 bimnlq:getquantitydoublevalue ?netfloorarea5_0value  .FILTER ( ?netfloorarea5_0value>20.0) . ?netfloorarea5_0 a ifcowl:IfcPhysicalQuantity . ?netfloorarea5_0 ifcowl:name_IfcPhysicalQuantity/expr:hasString ""NetFloorArea"" .}"
21,Return me the ceilings with level height offset less than unconnected height of wall 139249  .  ,"SELECT ?ceiling4_0 ?levelheightoffset6_0 ?unconnectedheight11_0 ?wall14_0 ?13924915_0 WHERE{  BIND ( ifcowl:CEILING AS ?ceiling4_0 ) . ?levelheightoffset6_0 a ifcowl:IfcProperty . ?levelheightoffset6_0 ifcowl:name_IfcProperty/expr:hasString  ""Height Offset From Level"" . ?tempofceiling4_0 schm:hasProperty ?levelheightoffset6_0  . ?13924915_0 a ifcowl:IfcIdentifier . ?13924915_0 expr:hasString ""139249"" . ?wall14_0 bimnlq:hastag ?13924915_0  . ?ceiling4_0 bimnlq:istypeenumof ?tempofceiling4_0  . ?wall14_0 a ifcowl:IfcWall . ?unconnectedheight11_0 bimnlq:ispropertyof ?wall14_0  . ?unconnectedheight11_0 a ifcowl:IfcProperty . ?unconnectedheight11_0 ifcowl:name_IfcProperty/expr:hasString  ""Unconnected Height"" .}"
22,Return windows whose home story is Level 2 or Level 3 .,"SELECT ?window2_0 ?homestory4_0 ?level27_0 ?level310_0 WHERE{    ?window2_0 schm:hasProperty ?homestory4_0  . ?homestory4_0 a ifcowl:IfcProperty . ?homestory4_0 ifcowl:name_IfcProperty/expr:hasString  ""Home Story"" . ?homestory4_0  . ?window2_0 a ifcowl:IfcWindow . {?homestory4_0 bimnlq:getpropertydoublevalue ?level27_0  .FILTER ( ?level27_0 = ""level 2"") } UNION {?homestory4_0 bimnlq:getpropertydoublevalue ?level310_0  .FILTER ( ?level310_0 = ""level 3"")} }"
23,Is Floor:Hangover Shading_100mm an external part of the building?,"SELECT ?external10_0 ?floorhangovershading100mm2_0 WHERE{ ?floorhangovershading100mm2_0 bimnlq:isdirectobjecttypeof ?tempoffloorhangovershading100mm2_0 . ?tempoffloorhangovershading100mm2_0 schm:hasProperty ?external10_0 . ?floorhangovershading100mm2_0 a ifcowl:IfcLabel . ?floorhangovershading100mm2_0 expr:hasString ""Floor:Hangover Shading_100mm"" . ?external10_0 bimnlq:getpropertybooleanvalue ?external10_0value  .FILTER ( ?external10_0value = true) . ?external10_0 a ifcowl:IfcProperty . ?external10_0 ifcowl:name_IfcProperty/expr:hasString  ""IsExternal"" .}"
24, Show me the wall that is not load bearing at 6/F ,"SELECT ?wall4_0 ?variable11_0 ?loadbearing8_0 WHERE{   ?wall4_0 a ifcowl:IfcWall . ?wall4_0 schm:hasProperty ?loadbearing8_0  . ?variable11_0 a ifcowl:IfcBuildingStorey .?variable11_0 ifcowl:name_IfcRoot/expr:hasString ""6/F""  . ?loadbearing8_0 bimnlq:ispropertyof ?variable11_0  . ?loadbearing8_0 bimnlq:getpropertybooleanvalue ?loadbearing8_0value  .FILTER ( ?loadbearing8_0value = false) . ?loadbearing8_0 a ifcowl:IfcProperty . ?loadbearing8_0 ifcowl:name_IfcProperty/expr:hasString  ""LoadBearing"" .}"
25,Show me the levels that have Floor:Hangover Shading_100mm .,"SELECT ?level4_0 ?floorhangovershading100mm7_0 WHERE{   ?level4_0 a ifcowl:IfcBuildingStorey . ?level4_0 schm:hasContainedProduct ?tempoffloorhangovershading100mm7_0. ?tempoffloorhangovershading100mm7_0 bimnlq:hasdirectobjecttyping ?floorhangovershading100mm7_0 .  ?floorhangovershading100mm7_0 a ifcowl:IfcLabel . ?floorhangovershading100mm7_0 expr:hasString ""Floor:Hangover Shading_100mm"" .}"
26,"The columns that satify its grossvolume < 0.3 m3, depth > 200 mm, width < 300 mm. ","
SELECT ?column2_0 ?width16_0 ?depth11_0 ?grossvolume6_0 WHERE{   ?column2_0 a ifcowl:IfcColumn . ?column2_0 schm:hasQuantity ?grossvolume6_0  . ?column2_0 schm:hasProperty ?depth11_0  . ?column2_0 schm:hasProperty ?width16_0  . ?depth11_0 bimnlq:getpropertydoublevalue ?depth11_0value  .FILTER ( ?depth11_0value>200.0) . ?depth11_0 a ifcowl:IfcProperty . ?depth11_0 ifcowl:name_IfcProperty/expr:hasString  ""Depth"" . ?width16_0 bimnlq:getpropertydoublevalue ?width16_0value  .FILTER ( ?width16_0value<300.0) . ?width16_0 a ifcowl:IfcProperty . ?width16_0 ifcowl:name_IfcProperty/expr:hasString  ""Width"" . ?grossvolume6_0 bimnlq:getquantitydoublevalue ?grossvolume6_0value  .FILTER ( ?grossvolume6_0value<0.3) . ?grossvolume6_0 a ifcowl:IfcPhysicalQuantity . ?grossvolume6_0 ifcowl:name_IfcPhysicalQuantity/expr:hasString ""GrossVolume"" .}"
27,Select the staircase from level one to level two.,"SELECT ?staircase3_0 ?variable5_0 ?variable8_0 WHERE{   ?variable8_0 a ifcowl:IfcBuildingStorey .?variable8_0 ifcowl:name_IfcRoot/expr:hasString ""Level 2""  . ?staircase3_0 schm:isContainedIn ?variable8_0  . ?staircase3_0 a ifcowl:IfcStair . ?staircase3_0 schm:isContainedIn ?variable5_0  . ?variable5_0 a ifcowl:IfcBuildingStorey .?variable5_0 ifcowl:name_IfcRoot/expr:hasString ""Level 1""  .}"
28, Is the door with mark 95 a 0813 x 2134mm ? ,"SELECT ?door3_0 ?mark5_0 ?0813x2134mm8_0 WHERE{   ?0813x2134mm8_0 a ifcowl:IfcLabel . ?0813x2134mm8_0 expr:hasString ""0813 x 2134mm"" . ?door3_0 bimnlq:hasdirectobjecttyping ?0813x2134mm8_0  . ?mark5_0 bimnlq:getpropertystringvalue ?mark5_0value  .FILTER ( regex(""with 95 a"",?mark5_0value,'i')) . ?mark5_0 a ifcowl:IfcProperty . ?mark5_0 ifcowl:name_IfcProperty/expr:hasString  ""Mark"" . ?door3_0 schm:hasProperty ?mark5_0  . ?door3_0 a ifcowl:IfcDoor .}"
29,Walls with top constraint to be up to level: Level 2 .,"SELECT ?wall1_0 ?topconstraint3_0 WHERE{   ?variable11_0 a ifcowl:IfcBuildingStorey .?variable11_0 ifcowl:name_IfcRoot/expr:hasString ""Level 2""  .  ?wall1_0 a ifcowl:IfcWall . ?level9_0 a ifcowl:IfcBuildingStorey . ?topconstraint3_0 a ifcowl:IfcProperty . ?topconstraint3_0 bimnlq:getpropertybooleanvalue ?topconstraint3_0value  . FILTER (?topconstraint3_0value=""level: Level 2"")}"
30,Find all brick walls,SELECT ?wall4_0 WHERE{ ?wall4_0 a ifcowl:IfcWall .}
31,What are the inner construction materials of the wall 139883,"SELECT ?material6_0 ?wall9_0 ?13988310_0 WHERE{ ?material6_0 bimnlq:ispropertyof ?wall9_0 .  ?13988310_0 a ifcowl:IfcIdentifier . ?13988310_0 expr:hasString ""139883"" . ?wall9_0 schm:hasTag ?13988310_0  . ?wall9_0 a ifcowl:IfcWall . ?material6_0 a ifcowl:IfcProperty . ?material6_0 a ifcowl:IfcProperty . ?material6_0 ifcowl:name_IfcProperty/expr:hasString  ""Material"" .}"
32,Collect external curtain walls in Exist Garage - Ground Level .,"SELECT ?curtainwall3_0 ?variable6_0 ?external2_0 WHERE{   ?curtainwall3_0 a ifcowl:IfcCurtainWall . ?curtainwall3_0 schm:hasProperty ?external2_0  . ?curtainwall3_0 schm:isContainedIn ?variable6_0  . ?variable6_0 a ifcowl:IfcBuildingStorey .?variable6_0 ifcowl:name_IfcRoot/expr:hasString ""Exist Garage - Ground Level""  . ?external2_0 bimnlq:getpropertybooleanvalue ?external2_0value  .FILTER ( ?external2_0value = true) . ?external2_0 a ifcowl:IfcProperty . ?external2_0 ifcowl:name_IfcProperty/expr:hasString  ""IsExternal"" .}"
33, How many windows are located at Level 2? ,"SELECT ?window3_0 ?variable7_0 WHERE{ ?area4_0 a ifcowl:IfcProperty .  ?window3_0 a ifcowl:IfcWindow . ?window3_0 schm:isContainedIn ?variable7_0  . ?variable7_0 a ifcowl:IfcBuildingStorey .?variable7_0 ifcowl:name_IfcRoot/expr:hasString ""Level 2""  .}"
34, Is any wall that is structural at 8/F? ,"SELECT ?wall3_0 ?variable8_0 ?structural6_0 WHERE{   ?structural6_0 bimnlq:getpropertybooleanvalue ?structural6_0value  .FILTER ( ?structural6_0value = true) . ?structural6_0 a ifcowl:IfcProperty . ?structural6_0 ifcowl:name_IfcProperty/expr:hasString  ""LoadBearing"" . ?wall3_0 schm:hasProperty ?structural6_0  . ?wall3_0 schm:isContainedIn ?variable8_0  . ?variable8_0 a ifcowl:IfcBuildingStorey .?variable8_0 ifcowl:name_IfcRoot/expr:hasString ""8/F""  . ?wall3_0 a ifcowl:IfcWall .}"
35,Find the single swing left door which is made by glass ,"SELECT ?door6_0 ?glass11_0 ?singleswingleft3_0 WHERE{  BIND ( ifcowl:SINGLE_SWING_LEFT AS ?singleswingleft3_0 ) . ?door6_0 a ifcowl:IfcDoor . ?singleswingleft3_0 bimnlq:istypeenumof ?door6_0  . ?door6_0 bimnlq:haslistedmaterial ?glass11_0  . ?glass11_0 a ifcowl:IfcMaterial . ?glass11_0 ifcowl:name_IfcMaterial/expr:hasString ""Glass"" .}"
36,   Get curtain walls composed of mullions with span larger than span of 1227576 .   ,"SELECT ?curtainwall2_0 ?mullion6_0 ?span8_0 ?span11_0 ?122757613_0 WHERE{ ?span8_0 bimnlq:largerthan_property ?span11_0 . ?span11_0 bimnlq:ispropertyof ?tempof122757613_0 . ?tempof122757613_0 bimnlq:hastag ?122757613_0 .  BIND ( ifcowl:MULLION AS ?mullion6_0 ) . ?span8_0 a ifcowl:IfcProperty . ?span8_0 ifcowl:name_IfcProperty/expr:hasString  ""Span"" . ?tempofmullion6_0 schm:hasProperty ?span8_0  . ?122757613_0 a ifcowl:IfcIdentifier . ?122757613_0 expr:hasString ""1227576"" . ?curtainwall2_0 a ifcowl:IfcCurtainWall . ?curtainwall2_0 schm:hasElementDecomposition ?tempofmullion6_0  . ?tempofmullion6_0 bimnlq:hastypeenum ?mullion6_0  . ?span11_0 a ifcowl:IfcProperty . ?span11_0 ifcowl:name_IfcProperty/expr:hasString  ""Span"" . ?mullion6_0 bimnlq:istypeenumof ?tempofmullion6_0  .}"
37,The windows with height larger than 6,"SELECT ?window2_0 ?height4_0 WHERE{   ?window2_0 a ifcowl:IfcWindow . ?window2_0 schm:hasProperty ?height4_0  . ?height4_0 bimnlq:getpropertydoublevalue ?height4_0value  .FILTER ( ?height4_0value>6.0) . ?height4_0 a ifcowl:IfcProperty . ?height4_0 ifcowl:name_IfcProperty/expr:hasString  ""Height"" .}"
38, Is there window on the Wall 022? ,"SELECT ?window3_0 ?variable6_0 WHERE{   ?variable6_0 a ifcowl:IfcWall .?variable6_0 ifcowl:name_IfcRoot/expr:hasString ""Wall - 022""  . ?window3_0 schm:isPlacedIn ?variable6_0  . ?window3_0 a ifcowl:IfcWindow .}"
39, Are the slab 542775 and the slab 517213 belonging to the same category? ,"SELECT ?slab3_0 ?slab7_0 ?category13_0 ?5427754_0 ?5172138_0 WHERE{ ?slab3_0 schm:hasProperty ?category13_0 . ?slab7_0 schm:hasProperty ?category13_0 .    ?category13_0 a ifcowl:IfcProperty . ?category13_0 ifcowl:name_IfcProperty/expr:hasString  ""Category"" . ?slab7_0 a ifcowl:IfcSlab . ?slab3_0 schm:hasElementComposition ?slab7_0  . ?slab7_0 ifcowl:tag_IfcElement ?5172138_0  . ?5427754_0 a ifcowl:IfcIdentifier . ?5427754_0 expr:hasString ""542775"" . ?slab3_0 ifcowl:tag_IfcElement ?5427754_0  . ?slab3_0 a ifcowl:IfcSlab . ?5172138_0 a ifcowl:IfcIdentifier . ?5172138_0 expr:hasString ""517213"" .}"
40,Return slab whose gross area is larger than 300 SQUARE FOOT.,"SELECT ?slab2_0 ?grossarea4_0 WHERE{   ?grossarea4_0 bimnlq:getquantitydoublevalue ?grossarea4_0value  .FILTER ( ?grossarea4_0value>300.0) . ?grossarea4_0 a ifcowl:IfcPhysicalQuantity . ?grossarea4_0 ifcowl:name_IfcPhysicalQuantity/expr:hasString ""GrossArea"" . ?slab2_0 schm:hasQuantity ?grossarea4_0  . ?slab2_0 a ifcowl:IfcSlab .}"
41,   Find mullions that are not load bearining and decomposing curtain walls in the building .   ,"SELECT ?mullion2_0 ?loadbearing6_0 ?curtainwall10_0 WHERE{  BIND ( ifcowl:MULLION AS ?mullion2_0 ) . ?loadbearing6_0 bimnlq:getpropertybooleanvalue ?loadbearing6_0value  .FILTER ( ?loadbearing6_0value = false) . ?loadbearing6_0 a ifcowl:IfcProperty . ?loadbearing6_0 ifcowl:name_IfcProperty/expr:hasString  ""LoadBearing"" . ?mullion2_0 bimnlq:istypeenumof ?tempofmullion2_0  . ?tempofmullion2_0 schm:hasElementComposition ?curtainwall10_0  . ?curtainwall10_0 a ifcowl:IfcCurtainWall .}"
42,Find all masonry brick walls,"SELECT ?wall5_0 ?masonrybrick3_0 WHERE{   ?masonrybrick3_0 a ifcowl:IfcMaterial . ?masonrybrick3_0 ifcowl:name_IfcMaterial/expr:hasString ""Masonry - Brick"" . ?wall5_0 bimnlq:haslayermaterial ?masonrybrick3_0  . ?wall5_0 a ifcowl:IfcWall .}"
43, Select the doors with widths equaling to 1200 mm at 4/F and 5/F ,"SELECT ?variable14_0 ?door3_0 ?variable12_0 ?width6_0 WHERE{   ?variable14_0 a ifcowl:IfcBuildingStorey . ?width6_0 bimnlq:ispropertyof ?variable14_0  . ?door3_0 a ifcowl:IfcDoor . ?door3_0 schm:hasProperty ?width6_0  . ?variable12_0 a ifcowl:IfcBuildingStorey .?variable12_0 ifcowl:name_IfcRoot/expr:hasString ""4/F""  . ?variable12_0 ifcowl:name_IfcRoot/expr:hasString ""5/F""  . ?width6_0 bimnlq:getpropertydoublevalue ?width6_0value  .FILTER ( ?width6_0value=1200.0) . ?width6_0 a ifcowl:IfcProperty . ?width6_0 ifcowl:name_IfcProperty/expr:hasString  ""Width"" .}"
44,Is the area of Room named 4 the same as area of Room named 6 ?,"SELECT ?room5_0 ?room12_0 ?area3_0 ?area10_0 WHERE{   ?room12_0 a ifcowl:IfcSpace . ?room5_0 a ifcowl:IfcSpace .?room5_0 ifcowl:name_IfcRoot/expr:hasString ""4""  . ?area3_0 bimnlq:ispropertyof ?room5_0  .?room12_0 ifcowl:name_IfcRoot/expr:hasString ""6""  . ?area10_0 bimnlq:ispropertyof ?room12_0  .{ ?area3_0 bimnlq:getpropertystringvalue ?area3_0value  .FILTER ( regex(""Is the of the same as of ?"",?area3_0value,'i')) . } UNION{ } ?area3_0 a ifcowl:IfcProperty . ?area3_0 ifcowl:name_IfcProperty/expr:hasString  ""Area"" . ?area3_0 bimnlq:equalto_property ?area10_0  .{ ?area10_0 bimnlq:getpropertystringvalue ?area10_0value  .FILTER ( regex(""as of"",?area10_0value,'i')) . } UNION{ } ?area10_0 a ifcowl:IfcProperty . ?area10_0 ifcowl:name_IfcProperty/expr:hasString  ""Area"" .}"
45,  Find all the lounge in the building  ,"SELECT ?lounge4_0 WHERE{  ?lounge4_0 ifcowl:longName_IfcSpatialStructureElement/expr:hasString ""Lounge""  . ?lounge4_0 a ifcowl:IfcSpace .}"
46,Which spaces are adjacent to the space called 017 ? ,SELECT ?space2_0 ?space7_0 WHERE{   ?space7_0 a ifcowl:IfcSpace . ?space2_0 schm:hasNextSpace ?space7_0  . ?space2_0 a ifcowl:IfcSpace .}
47,Find the door which belongs to storage room .,"SELECT ?door3_0 ?storageroom7_0 WHERE{  ?storageroom7_0 ifcowl:longName_IfcSpatialStructureElement/expr:hasString ""Storage Room""  . ?storageroom7_0 a ifcowl:IfcSpace . ?door3_0 schm:isContainedIn ?storageroom7_0  . ?door3_0 a ifcowl:IfcDoor .}"
48, Is composite the structure type of Slab 14? ,"SELECT ?slab7_0 ?structuretype4_0 WHERE{   ?structuretype4_0 bimnlq:getpropertystringvalue ?structuretype4_0value  .FILTER ( regex(""composite"",?structuretype4_0value,'i')) . ?structuretype4_0 a ifcowl:IfcProperty . ?structuretype4_0 ifcowl:name_IfcProperty/expr:hasString  ""Structure Type"" . ?structuretype4_0 bimnlq:ispropertyof ?slab7_0  . ?slab7_0 a ifcowl:IfcSlab .}"
